Type,Message
ham,Ill call you evening ill some ideas.
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
ham,Hello! How r u? Im bored. Inever thought id get bored with the tv but I am. Tell me something exciting has happened there? Anything! =/
ham,Think you sent the text to the home phone. That cant display texts. If you still want to send it his number is
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
ham,Ok then i'll let him noe later n ask him call u tmr...
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,"Total disappointment, when I texted you was the craziest shit got :("
ham,We can make a baby in yo tho
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
spam,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,Ooooooh I forgot to tell u I can get on yoville on my phone
spam,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM"
ham,Not sure I have the stomach for it ...
ham,"I hav almost reached. Call, i m unable to connect u."
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
ham,Thank you. do you generally date the brothas?
ham,What???? Hello wats talks email address?
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,Oh god. I'm gonna Google nearby cliffs now.
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,Ok.
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Hey cutie. How goes it? Here in WALES its kinda ok. There is like hills and shit but i still avent killed myself. 
ham,When u wana see it then
ham,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
ham,K:)k.are you in college?
ham,Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday
ham,Ok lor but not too early. Me still having project meeting now.
ham,Huh so fast... Dat means u havent finished painting?
ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
ham,Thankyou so much for the call. I appreciate your care.
ham,Easy ah?sen got selected means its good..
ham,Wat ü doing now?
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,What time you think you'll have it? Need to know when I should be near campus
spam,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,Hi. Hope you had a good day. Have a better night.
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,Yes i have. So that's why u texted. Pshew...missing you so much
ham,Lol enjoy role playing much?
ham,You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged
ham,Oh great. I.ll disturb him more so that we can talk.
ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,Apps class varaya elaya.
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only
spam,Call 09095350301 and send our girls into erotic ecstacy. Just 60p/min. To stop texts call 08712460324 (nat rate)
ham,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)"
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,Ok no prob. Take ur time.
spam,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow
ham,Ok... The theory test? when are ü going to book? I think it's on 21 may. Coz thought wanna go out with jiayin. But she isnt free
ham,Ugh. Gotta drive back to sd from la. My butt is sore.
ham,I'm freezing and craving ice. Fml
ham,We are both fine. Thanks
ham,Now get step 2 outta the way. Congrats again.
ham,And of course you should make a stink!
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,I am great princess! What are you thinking about me? :)
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,I'm in a movie. Call me 4 wat?
ham,Why don't you wait 'til at least wednesday to see if you get your .
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOOD NIGHT"
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,You didnt complete your gist oh.
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records."
spam,Marvel Mobile Play the official Ultimate Spider-man game (£4.50) on ur mobile right now. Text SPIDER to 83338 for the game & we ll send u a FREE 8Ball wallpaper
ham,Why did I wake up on my own &gt;:(
ham,Dunno lei shd b driving lor cos i go sch 1 hr oni.
ham,Wishing you a wonderful week.
ham,Hi kindly give us back our documents which we submitted for loan from STAPATI
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,Oh yeah! And my diet just flew out the window
ham,Well obviously not because all the people in my cool college life went home ;_;
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF
ham,"Cool, what time you think you can get here?"
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham,Well keep in mind I've only got enough gas for one more round trip barring a sudden influx of cash
ham,"Just making dinner, you ?"
ham,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*"
ham,I'm in office now . I will call you  &lt;#&gt;  min:)
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,I'm at work. Please call
ham,Am slow in using biola's fne
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,Hey company elama po mudyadhu.
ham,"Hey, iouri gave me your number, I'm wylie, ryan's friend"
ham,Yavnt tried yet and never played original either
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,"It'll be tough, but I'll do what I have to"
ham,will you like to be spoiled? :)
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I‘ll bring one anyway
ham,Is that on the telly? No its Brdget Jones!
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,"Haha awesome, omw back now then"
spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
ham,get ready to moan and scream :)
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
ham,No problem baby. Is this is a good time to talk? I called and left a message.
ham,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx
ham,I reach home safe n sound liao...
ham,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,I know you are serving. I mean what are you doing now.
ham,Aiyah ok wat as long as got improve can already wat...
ham,I called but no one pick up e phone. I ask both of them already they said ok.
ham,Send me yetty's number pls.
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... 
ham,Am surfing online store. For offers do you want to buy any thing.
ham,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
ham,"Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin..."
ham,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8
ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
ham,Ard 6 like dat lor.
spam,"URGENT! Last weekend's draw shows that you have won £1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm"
ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,Why do you ask princess?
spam,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth £33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk
ham,I don't want you to leave. But i'm barely doing what i can to stay sane. fighting with you constantly isn't helping.
ham,I went to project centre
ham,I have to take exam with march 3
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
ham,Armand says get your ass over to epsilon
ham,I want to be inside you every night...
ham,U dun say so early hor... U c already then say...
spam,PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04
ham,No messages on her phone. I'm holding it now
ham,In which place do you want da.
ham,I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon
ham,No go. No openings for that room 'til after thanksgiving without an upcharge.
ham,Dont you have message offer
ham,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,Those were my exact intentions
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
spam,<Forwarded from 88877>FREE entry into our £250 weekly comp just send the word ENTER to 88877 NOW. 18 T&C www.textcomp.com
ham,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"
ham,Nothing just getting msgs by dis name wit different no's..
ham,I love to give massages. I use lots of baby oil... What is your fave position?
ham,No. Its not specialisation. Can work but its slave labor. Will look for it this month sha cos no shakara 4 beggar.
ham,K I'll call you when I'm close
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX
ham,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday"
ham,Arun can u transfr me d amt
ham,Yep get with the program. You're slacking.
ham,Bring it if you got it
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,I AM AT THE GAS STATION. GO THERE.
ham,Yeah it's jus rite...
spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true¡C C Ringtone¡
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,How much it will cost approx . Per month.
ham,I wont. So wat's wit the guys
ham,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
ham,I'm not coming home 4 dinner.
spam,"tddnewsletter@emc1.co.uk (More games from TheDailyDraw) Dear Helen, Dozens of Free Games - with great prizesWith.."
ham,"Not much, just some textin'. How bout you?"
ham,"I'm taking derek &amp; taylor to walmart, if I'm not back by the time you're done just leave the mouse on my desk and I'll text you when priscilla's ready"
ham,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out
ham,Lol they were mad at first but then they woke up and gave in.
ham,What year. And how many miles.
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols"
ham,haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
ham,Reverse is cheating. That is not mathematics.
ham,Thanx a lot 4 ur help!
ham,Chk in ur belovd ms dict
ham,Somebody set up a website where you can play hold em using eve online spacebucks
ham,Dont talk to him ever ok its my word.
ham,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800
ham,Are you this much buzy
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,So gd got free ice cream... I oso wan...
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,Just wanted to say holy shit you guys weren't kidding about this bud
ham,"aight we can pick some up, you open before tonight?"
ham,X course it 2yrs. Just so her messages on messenger lik you r sending me
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla.."
ham,As in i want custom officer discount oh.
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
ham,"I think your mentor is , but not 100 percent sure."
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Yo guess what I just dropped
ham,"Just checked out, heading out to drop off my stuff now"
ham,"Aight that'll work, thanks"
ham,Just sleeping..and surfing
ham,Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x
ham,"No worries, hope photo shoot went well. have a spiffing fun at workage. "
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,I think steyn surely get one wicket:)
ham,When you guys planning on coming over?
ham,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.
ham,I cant pick the phone right now. Pls send a message
ham,Except theres a chick with huge boobs.
ham,Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
ham,I dont have i shall buy one dear
ham,Haha i think i did too
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,But i'm surprised she still can guess right lor...
ham,Ofcourse I also upload some songs
ham,Dude we should go sup again
ham,Yup i thk so until e shop closes lor.
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
ham,"A boy was late 2 home. His father: ""POWER OF FRNDSHIP"""
ham,Just do what ever is easier for you
ham,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.
ham,Waaaat?? Lololo ok next time then!
ham,You are a great role model. You are giving so much and i really wish each day for a miracle but God as a reason for everything and i must say i wish i knew why but i dont. I've looked up to you since i was young and i still do. Have a great day.
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
ham,Dude im no longer a pisces. Im an aquarius now.
ham,K. I will sent it again
ham,"The table's occupied, I'm waiting by the tree"
spam,"Latest News! Police station toilet stolen, cops have nothing to go on!"
ham,Thats cool. How was your day?
ham,That day you asked about anand number. Why:-)
ham,Its sunny in california. The weather's just cool
ham,Are you willing to go for aptitude class.
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,"Yun ah.the ubi one say if ü wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.èn"
ham,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too"
ham,I'm in inside office..still filling forms.don know when they leave me.
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm"
ham,Whom you waited for yesterday
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 4 messages. You have 21 matches. Please call back on 09056242159 to retrieve your messages and matches
ham,Here got lots of hair dresser fr china.
ham,Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.
ham,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
ham,I'm home...
ham,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...
spam,"Thanks for your ringtone order, ref number R836. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069154"
ham,What makes you most happy?
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
ham,And he's apparently bffs with carly quick now
ham,Sac needs to carry on:)
ham,Hi its in durban are you still on this number
ham,Also fuck you and your family for going to rhode island or wherever the fuck and leaving me all alone the week I have a new bong &gt;:(
spam,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270
ham,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?"
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,happened here while you were adventuring
ham,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
ham,If you have belive me. Come to my home.
ham,Its posible dnt live in  &lt;#&gt; century cm frwd n thnk different
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
ham,Eh u send wrongly lar...
ham,Apo all other are mokka players only
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
ham,What i told before i tell. Stupid hear after i wont tell anything to you. You dad called to my brother and spoken. Not with me.
ham,No one interested. May be some business plan.
ham,How do friends help us in problems? They give the most stupid suggestion that Lands us into another problem and helps us forgt the previous problem
ham,I cant wait to see you! How were the photos were useful? :)
ham,I dont know exactly could you ask chechi.
ham,"Sorry, got a late start, we're on the way"
ham,U still havent got urself a jacket ah?
ham,Draw va?i dont think so:)
ham,U know we watchin at lido?
ham,Hope you are having a good week. Just checking in
ham,Good morning princess! Have a great day!
ham,There is a first time for everything :)
ham,Welp apparently he retired
ham,PS U no ur a grown up now right?
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,Ok lor ü reaching then message me.
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,Mode men or have you left.
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx
ham,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai.........."
ham,"K I'll head out in a few mins, see you there"
ham,Oh god i am happy to see your message after 3 days
ham,See? I thought it all through
ham,Pls tell nelson that the bb's are no longer comin. The money i was expecting aint coming
ham,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?"
ham,Otherwise had part time job na-tuition..
ham,Yes.he have good crickiting mind
ham,This pain couldn't have come at a worse time.
ham,Reckon need to be in town by eightish to walk from * carpark.
ham,Please attend the phone:)
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.
ham,Haha... can... But i'm having dinner with my cousin...
ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
ham,Did you show him and wot did he say or could u not c him 4 dust?
